"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"275","00357004","00357000",10155,"0","1","0","1","0","1","0","1","1","1","1","1","1","2"
"276","00358000","00358000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"277","00359000","00359000",10155,"1","0","0","1","1","1","0","1","1","0","1","1","1","2"
"278","00360000","00360000",10155,"1","0","0","1","0","1","1","1","0","0","1","0","0","2"
"279","00361000","00361000",10155,"1","0","0","1","0","1","0","0","0","0","1","0","0","2"
"280","00362000","00362000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","2"
"281","00364000","00364000",10155,"1","0","0","0","0","0","0","1","0","0","1","0","0","2"
"282","00364003","00364000",10155,"0","0","0","1","1","1","0","1","0","1","1","1","1","1"
"283","00364004","00364000",10155,"0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"284","00365000","00365000",10155,"1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"285","00366000","00366000",10155,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"286","00367000","00367000",10155,"1","0","0","0","0","0","1","0","0","0","1","0","0","1"
"287","00368000","00368000",10155,"1","0","0","0","1","0","0","0","0","0","1","1","0","2"
"288","00368004","00368000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","3"
"289","00368006","00368000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"290","00370000","00370000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"291","00370004","00370000",10155,"0","0","0","1","1","0","0","1","0","1","1","1","1","1"
"292","00370005","00370000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"293","00371000","00371000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"294","00372000","00372000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"295","00372004","00372000",10155,"0","0","0","0","1","1","0","1","0","1","1","1","1","2"
"296","00373000","00373000",10155,"0","0","0","0","1","0","0","0","0","0","1","0","0","1"
"297","00373001","00373000",10155,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"298","00375000","00375000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"299","00377000","00377000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"300","00379000","00379000",10155,"1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"301","00381000","00381000",10155,"0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"302","00383000","00383000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","1"
"303","00384000","00384000",10155,"1","0","0","1","1","1","1","0","0","0","1","0","0","2"
"304","00385000","00385000",10155,"0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"305","00386000","00386000",10155,"0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"306","00388000","00388000",10155,"1","0","0","0","0","0","0","0","0","0","1","0","0","2"
